"12ak -- Deaths by age (5-year), sex and area, 1990-2021"

"Year","Area","Females Total Deaths","Females 0 Deaths","Females 1 - 4 Deaths","Females 5 - 9 Deaths","Females 10 - 14 Deaths","Females 15 - 19 Deaths","Females 20 - 24 Deaths","Females 25 - 29 Deaths","Females 30 - 34 Deaths","Females 35 - 39 Deaths","Females 40 - 44 Deaths","Females 45 - 49 Deaths","Females 50 - 54 Deaths","Females 55 - 59 Deaths","Females 60 - 64 Deaths","Females 65 - 69 Deaths","Females 70 - 74 Deaths","Females 75 - 79 Deaths","Females 80 - 84 Deaths","Females 85 - 89 Deaths","Females 90 - 94 Deaths","Females 95 - Deaths"
"1990","Muonio",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0
"1990","Korsholm",73,2,0,0,0,2,1,0,1,0,1,1,0,0,2,3,8,13,16,17,2,4
"1990","Muurame",25,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,4,4,3,3,0
"1990","Mynämäki",43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,7,12,8,7,0
"1990","Myrskylä",11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,5,0,0
"1990","Mäntsälä",67,1,0,1,0,1,0,0,0,0,0,0,1,0,5,7,7,9,10,15,6,4
"1990","Mänttä-Vilppula",65,0,0,0,0,0,0,1,1,0,0,1,1,3,4,6,9,8,14,11,5,1
"1990","Mäntyharju",57,1,0,0,1,0,0,0,0,0,2,0,0,1,1,5,8,11,14,8,3,2
"1990","Naantali",54,0,0,0,0,0,0,0,0,1,0,4,0,2,3,6,2,10,11,9,4,2
"1990","Nakkila",33,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,5,5,9,5,3,0
"1990","Nivala",48,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,7,9,13,4,8,0
"1990","Nokia",121,2,0,0,0,0,0,0,0,1,3,1,2,9,4,8,14,16,28,20,10,3
"1990","Nousiainen",19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,7,4,3,1
"1990","Nurmes",98,0,0,0,0,0,0,0,0,2,2,3,4,4,4,5,5,25,20,18,6,0
"1990","Nurmijärvi",85,1,0,1,0,1,0,0,1,0,1,0,3,2,3,5,5,14,24,16,7,1
"1990","Närpes",74,1,0,0,0,0,0,0,0,0,0,0,1,4,5,7,5,10,15,19,7,0
"1990","Orimattila",88,0,0,0,0,0,0,0,0,0,1,1,2,3,3,8,12,17,22,10,7,2
"1990","Oripää",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,2,0
"1990","Orivesi",63,0,0,0,0,0,0,1,0,0,0,0,1,2,4,7,8,11,15,9,4,1
"1990","Oulainen",41,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,8,7,11,6,0,2
"1990","Oulu",509,5,0,0,0,1,3,1,3,5,3,4,16,14,21,47,55,96,117,76,32,10
"1990","Outokumpu",62,1,0,0,0,0,0,0,0,0,0,0,1,1,2,8,4,18,12,13,2,0
"1990","Padasjoki",38,0,0,0,0,1,2,0,0,0,0,1,1,1,2,2,5,5,4,10,4,0
"1990","Paimio",27,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,2,5,5,7,1,1
"1990","Paltamo",35,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,8,10,4,2,3,0
"1990","Pargas",94,0,0,2,0,0,0,1,0,0,0,0,0,2,4,5,10,13,17,24,13,3
"1990","Parikkala",50,0,0,0,0,0,0,0,1,1,0,1,0,1,0,3,10,6,13,8,6,0
"1990","Parkano",33,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,2,7,6,7,3,1
"1990","Pedersöre",47,1,0,0,0,0,0,1,0,0,0,0,0,1,3,4,8,7,7,7,7,1
"1990","Pelkosenniemi",6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1
"1990","Pello",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,6,3,1,1
"1990","Perho",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,0,1
"1990","Pertunmaa",22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,4,6,3,2,0
"1990","Petäjävesi",17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,6,5,0,0
"1990","Pieksämäki",122,2,0,0,0,0,1,0,0,1,3,1,1,2,5,9,19,26,23,17,10,2
"1990","Pielavesi",48,0,0,0,0,0,0,0,0,1,1,1,1,2,3,1,6,13,14,4,1,0
"1990","Jakobstad",84,0,0,0,0,0,0,0,0,0,2,1,0,2,4,5,7,19,19,12,11,2
"1990","Pihtipudas",38,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,10,6,7,6,1
"1990","Pirkkala",34,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,6,8,4,7,2,0
"1990","Polvijärvi",35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,9,6,7,3,4,0
"1990","Pomarkku",20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,6,4,1
"1990","Pori",435,2,0,0,1,1,1,3,2,4,8,8,5,9,20,35,52,68,93,81,35,7
"1990","Pornainen",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5,1,0
"1990","Porvoo",230,5,0,1,1,2,3,0,1,4,4,5,4,8,8,20,21,34,37,49,16,7
"1990","Posio",34,1,0,0,0,0,0,0,0,0,1,1,0,2,0,5,8,5,6,2,3,0
"1990","Pudasjärvi",47,0,0,0,0,0,0,0,2,0,1,1,0,0,3,5,3,7,12,6,5,2
"1990","Pukkila",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,1,3,1
"1990","Punkalaidun",35,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,2,6,8,7,3,0
"1990","Puolanka",25,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,6,7,2,3,1,0
"1990","Puumala",15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,2,2,2,1
"1990","Pyhtää",30,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,5,9,4,5,2,0
"1990","Pyhäjoki",14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,3,4,0,0
"1990","Pyhäjärvi",32,1,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2,6,8,5,0,0
"1990","Pyhäntä",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,0,0,0
"1990","Pyhäranta",13,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,2,3,1,0
"1990","Pälkäne",44,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,5,4,15,3,7,2
"1990","Pöytyä",49,1,0,0,0,0,0,0,0,0,1,1,0,0,2,4,5,5,12,11,6,1
"1990","Raahe",88,2,0,0,0,2,1,1,0,2,0,1,2,3,5,11,11,10,17,15,5,0
"1990","Raasepori",171,0,0,0,0,0,0,0,1,1,0,1,4,0,10,17,15,27,36,38,15,6
"1990","Raisio",58,3,0,0,0,0,1,0,1,1,1,0,2,2,4,4,6,13,9,8,3,0
"1990","Rantasalmi",31,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,5,8,7,2,0
"1990","Ranua",25,0,0,0,1,0,2,0,0,0,0,0,0,1,1,3,4,4,6,1,1,1
"1990","Rauma",201,0,0,0,1,1,0,1,0,1,4,2,3,2,9,17,23,37,44,30,20,6
"1990","Rautalampi",24,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,1,3,8,4,1,0
"1990","Rautavaara",15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,5,5,0,0
"1990","Rautjärvi",38,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,4,5,9,9,4,1
